SITE_NAME,COEFF_VARIATION
0181BB,0.05561060644331111
0181BR,0.052762099960788636
0181KO,0.08742306528987352
0182BB,1.2567880021009374
0182BR,0.09693367433811535
0183BB,0.07082256688786273
0183BR,0.6095709006947871
0184BR,0.07151484527091458
0184KO,0.07209984151766739
0185BB,1.5300594308472888
0185BR,0.10938945789811162
0185KO,0.43033833660953097
0186BB,0.012360392708055267
0186BR,0.413088857669461
0186KO,0.03156960034756388
0187BB,0.07090317542750772
0187BR,0.03849614258223238
0188BB,0.0824219909840089
0188BR,0.0439434397074616
0188KO,0.21977153238185138
0189BB,0.05655926414673842
0189BR,0.03802640263745102
0190BB,1.5059926179705183
0190BR,0.27376995832659795
0190KO,0.10107592039109341
0191BB,0.0021356639242400112
0191BR,0.12756693548455814
0192BR,0.2768417457111193
0192KO,0.09523530424801235
0193BB,0.21797833318588453
0193BR,0.5269328248627613
0193KO,0.20329629671252533
0194BB,1.4835601321798615
0194BR,0.08242652068773629
0194KO,0.8663449851058139
0195BB,0.020947446683192227
0195BR,0.3618626512364578
0195KO,0.33707132588982786
0196BB,1.670035315639104
0196BR,0.10137617241084652
0197BR,0.06062674387501186
0197KO,0.13643984178988902
0198BB,0.05778044145400141
0199BB,0.07128529542492162
0199BR,0.05231503061115682
0199KO,0.71795717560538
0200BB,0.004756035430631206
0200KO,0.06754708790501618
0201BR,0.2515587488178099
0201KO,0.08344834414979142
0202BR,0.07343935167394086
0202KO,0.07980578046450829
0203BR,0.09130635389231331
0203KO,0.6140555143062805
0204BB,0.36559004686148716
0204BR,0.04724357276355386
0204KO,1.4490283297921327
0205BR,0.062039557735609284
0205KO,0.06205027455322259
0206BR,0.16724137159835717
0206KO,0.5524688466545792
0207BB,0.04493868807299722
0207BR,0.3408093306898356
0207KO,0.05249445609235764
0208BR,
0208KO,0.03600349325227998
0209BB,1.533331821542179
0209BR,0.33464140664021697
0209KO,0.07010570619308877
0210BR,0.690567631864614
0210KO,0.15403611368290607
0211BB,0.1947870978310124
0211BR,0.08845704127433682
0211KO,0.28191576843676186
0212BB,1.5315671528487607
0212BR,0.8131538467085596
0212KO,0.47131178753842196
0213BB,0.04031393546591982
0213BR,0.7906183607521474
0213KO,0.6194880335572378
0214BB,0.1538376193597721
0214BR,0.006989523372519416
0214KO,0.11743927983118861
0215BB,0.0168747452295873
0215BR,0.049369004838791364
0215KO,0.039183589942800315
0216BR,0.4867389793449908
0216KO,0.1010472922732956
0217BB,1.851868362445955
0217BR,0.6562074172450263
0217KO,0.5678526840329222
0218BB,0.1131463775896658
0218BR,0.07471036130610827
0218KO,0.08098403502286948
0219BB,0.009377562907914973
0219BR,0.06716448485825688
0219KO,0.061537067796530925
0220BB,0.05729143274122565
0220BR,0.06834082047291797
0220KO,
0221BR,0.039080161468137295
0221KO,0.6839223708458084
0222BB,0.08014790019707453
0222BR,0.7282575750419517
0222KO,0.008159326731971603
0223BR,0.4339695762577667
0223KO,0.26961025234040176
0224BB,0.031001462516634246
0224BR,0.3805296807578672
0224KO,0.08167730999646543
0225BB,0.06630364819831266
0225BR,0.43257012176423376
0225KO,0.1802353052648082
0226BB,0.059807874478514066
0226BR,0.5424976874894367
0226KO,0.07310164839901015
0227BB,0.6285325001700971
0227BR,0.43089132315027256
0227KO,0.09168273886195064
0228BB,0.07856324079144114
0228BR,0.1684057418081691
0228KO,0.07387598350218244
0229BB,0.1363001000325635
0229BR,0.6865629468605112
0229KO,0.05816909140907774
0230BB,0.0717459282732954
0230KO,0.08006120130294313
0231BB,0.014548413542663096
0231BR,0.08152439208372475
0231KO,0.4168809493408399
0232BB,0.07047504334663357
0232BR,0.4450398584310987
0232KO,0.07820658802805847
0233BB,0.007449161779835411
0233BR,0.10048461983393515
0233KO,0.0023056039756102005
0234BB,0.15326163481341454
0234BR,0.4186925956218819
0234KO,0.06887716279396161
0235BB,1.5847783918491904
0235BR,0.07190204996731552
0235KO,0.059613916023719626
0236BB,0.00408352523847907
0236BR,0.05411373088013792
0236KO,0.14727054665485495
0237BB,0.451904850851382
0237BR,0.6863630366293486
0237KO,0.46280688800795033
0238BB,0.3687389080884638
0238BR,0.24517761986280454
0238KO,0.1079601704341432
0239BB,0.20803720016932045
0239BR,0.04812180571861956
0239KO,0.15695944587920058
0240BB,0.7118254677254797
0240BR,0.11098212922396657
0240KO,0.5668019510387747
0241BR,0.07998411138949511
0241KO,0.2823369762443501
0242BB,0.09753846756899155
0242BR,0.6010196783597015
0242KO,0.12084904187578324
0243BB,0.7757966120706292
0243BR,0.11816581577464162
0243KO,0.268398624877076
0244BB,0.006660169235313906
0244BR,0.08347285204009994
0244KO,0.05759943204319031
0245BB,0.06596555814080499
0245BR,0.021109113204701317
0245KO,0.1481956527566019
0246BB,0.0009517497207772436
0246BR,0.0674956906959877
0246KO,0.037042657994782235
0247BB,0.3459459572640218
0247BR,0.06203401885419224
0247KO,0.1494919478774326
0248BB,1.310814686729288
0248BR,0.1885106770123319
0248KO,0.11239301624734
0249BB,0.1548622151928928
0249KO,0.31584895657892176
0250BB,0.05095721761699609
0250BR,0.6789594431401348
0250KO,0.1080790055599186
0251BB,0.055712516601785354
0251BR,0.8239678924175613
0251KO,0.18609384145045826
0252BB,0.0989977064893677
0252BR,0.07918512278981167
0252KO,0.09963102975310807
0253BB,0.0415708487460257
0253BR,0.060755038254040564
0253KO,0.17480254372065723
0254BB,0.4192500875458176
0254BR,0.13960436930215797
0254KO,1.4417344867071091
0255BB,0.11414057561026904
0255BR,0.4923685047129737
0255KO,0.10601518336798331
0256BB,0.04075236124677982
0256BR,0.9294668773668053
0256KO,0.06761861230770576
0257BB,0.07927565499970092
0257KO,0.1776761678676992
0258BB,0.07391226707540896
0258BR,0.07340007330767218
0258KO,0.1876803348693325
0259BB,0.08072899182012762
0259BR,0.15206283391794176
0260BB,1.3167589833861204
0260BR,1.9519548883375952
0260KO,0.06541393657117395
0261BB,0.0
0261BR,0.11955821728231748
0261KO,0.09951177711861234
0262BB,1.3712804295486005
0262BR,0.48551761864893744
0262KO,0.07140890999950271
0263BB,0.07788297095171874
0263BR,0.41176230797740354
0263KO,0.10230298090986537
0264BB,0.07226316760671501
0264BR,0.011561923980903914
0264KO,0.08927224265094276
0265BB,0.04947897305600707
0265BR,
0265KO,0.05140834540800771
0266BB,0.36453692732151854
0266BR,0.10514944194836479
0266KO,0.05241582039321792
0267BB,0.052095256986202945
0267BR,0.0037965941032672094
0267KO,0.09148401524052616
0268BB,0.1481212019943639
0268BR,0.9425009417188753
0268KO,0.051101412390443475
0269BB,0.20791872636819156
0269BR,0.4320007477970337
0269KO,0.0658820503352866
0270BB,0.0823866579642401
0270BR,0.11004104852162978
0270KO,0.04940345085580328
0271BB,0.07298689735103649
0271BR,0.01862096859673514
0271KO,0.18841445112365457
0272BB,0.20187506461922416
0272BR,1.2616811224800946
0272KO,0.04265242750066529
0273BB,0.09061823297171943
0273BR,0.09002278398096772
0273KO,0.215917728365153
0274BB,0.09979026743293647
0274BR,0.06052460428705506
0274KO,0.06572563641953505
0275BB,0.03186131869640048
0275BR,0.07401146805274104
0275KO,0.11394314416642431
0276BB,1.5123873374143848
0276BR,0.5089158704615299
0276KO,0.14138488054947126
0277BB,0.0474102666044946
0277BR,0.10341003246207332
0277KO,0.27069106886363814
0278BB,0.2109086987719714
